nr_core  nr_sol  npol  
      11       4     101
raxis  zaxis  
       509.78719       19.063421
       508.31199       18.838692
       506.81199       18.519875
       505.29774       18.095417
       503.78632       17.550863
       502.29682       16.875799
       500.85058       16.063457
       499.46821       15.111978
       498.16858       14.024894
       496.97217       12.807367
       495.89185       11.470913
       494.94125       10.028138
       494.13109       8.4930458
       493.46256       6.8832149
       492.93879       5.2141639
       492.56474       3.5007039
       492.33912       1.7581219
       492.26385    0.0011636888
       492.34128      -1.7558291
       492.56352      -3.4986061
       492.93687      -5.2123261
       493.45945      -6.8818475
       494.12664      -8.4923334
       494.94081      -10.026162
       495.89146      -11.469073
       496.96838      -12.807325
       498.16414      -14.025693
       499.46415      -15.112919
       500.84850      -16.063110
       502.29696      -16.873686
       503.78593      -17.549187
       505.29681      -18.094357
       506.80950      -18.521163
       508.31020      -18.839326
       509.78579      -19.063511
       511.22798      -19.207073
       512.63300      -19.279381
       513.99715      -19.294369
       515.32055      -19.263042
       516.60616      -19.187886
       517.85677      -19.076102
       519.07532      -18.936412
       520.26677      -18.768793
       521.43550      -18.574433
       522.58633      -18.359533
       523.72442      -18.124347
       524.85429      -17.865716
       525.98202      -17.588480
       527.11118      -17.285707
       528.24995      -16.963888
       529.40074      -16.613419
       530.57202      -16.237208
       531.76792      -15.828751
       532.99627      -15.386060
       534.26259      -14.902697
       535.57456      -14.373627
       536.93652      -13.789050
       538.35680      -13.141712
       539.84287      -12.421842
       541.39247      -11.612490
       543.00289      -10.697175
       544.66513      -9.6584730
       546.35137      -8.4739015
       548.01056      -7.1215948
       549.55462      -5.5858872
       550.84739      -3.8598972
       551.71904      -1.9856785
       552.04039    0.0011143257
       28.325736
       558.90463    0.0018321360
       558.46887       2.4045283
       557.25121       4.6733604
       555.51920       6.7258452
       553.50684       8.5356943
       551.39650       10.115749
       549.28909       11.491892
       547.25007       12.698461
       545.29438       13.760081
       543.43578       14.704571
       541.66606       15.548441
       539.97661       16.306333
       538.36682       16.998047
       536.81929       17.627404
       535.33011       18.209317
       533.88646       18.746729
       532.47893       19.244119
       531.10208       19.710204
       529.74669       20.146595
       528.40514       20.556034
       527.07094       20.941970
       525.73664       21.304494
       524.39583       21.646395
       523.04161       21.965866
       521.66730       22.262212
       520.26679       22.536846
       518.83339       22.783476
       517.36133       22.999610
       515.84509       23.180356
       514.27908       23.321534
       512.66019       23.411941
